"ruleid","sourceip4","destinationip4","sourcednsname","destinationdnsname","protocol"
"a179c60e-600d-5929-a403-d172053d3acb","","","","{""addr"":""dcape-na.amazon.com""}",""
"cb8448cf-53f8-5eac-801d-92a6b974553b","","","","{""addr"":""softwareupdates.amazon.com""}",""
"89f39900-037c-5eaa-b242-8eb733c8d9a7","","","","{""addr"":""3.north-america.pool.ntp.org""}",""
"59152fbe-73ba-56bf-8965-a6309be53a44","","{""addr"":""224.0.0.22/32""}","","",""
"5b256e0b-e624-5e69-9ffa-9d71680d5db5","","{""addr"":""239.255.255.250/32""}","","",""
"9936686a-b0c9-5f0e-afcb-496bc6c16697","","{""addr"":""255.255.255.255/32""}","","",""
"f7705b7e-01a4-5a85-8961-d5e361a5e4b9","","{""addr"":""255.255.255.255/32""}","","",""
"313f0545-8e6f-5859-b70d-df28e05e1fd7","","{""addr"":""208.67.220.220/32""}","","",""
"0ccb3890-1dc1-5d18-8703-01c298ee5baf","","","","{""addr"":""dcape-na.amazon.com""}",""
"c301cb06-b8e2-59bf-978d-22ccda891e5b","","","","{""addr"":""softwareupdates.amazon.com""}",""
"237e0577-03a7-5be5-8399-67197bfca464","","","","{""addr"":""3.north-america.pool.ntp.org""}",""
"909ff9b4-3360-5811-885e-c95672d2cfbd","","{""addr"":""224.0.0.22/32""}","","",""
"6f1221fa-c09b-5354-9681-ed55173e31c6","","{""addr"":""239.255.255.250/32""}","","",""
"847b9e2f-fdfc-5330-ba6c-98650b859f02","","{""addr"":""255.255.255.255/32""}","","",""
"acb8fc48-cc50-51d0-b404-23792a211462","","{""addr"":""255.255.255.255/32""}","","",""
"25c5be11-f684-57ae-bffe-bacccac253cf","","{""addr"":""208.67.220.220/32""}","","",""
"e3804c2c-a071-5e9c-9fa8-95fe2d8b5609","","","","{""addr"":""dcape-na.amazon.com""}",""
"6390ffee-a639-5de7-a9cf-377495dd0249","","","","{""addr"":""softwareupdates.amazon.com""}",""
"78ecc5ed-5076-5181-8bc6-3dc6a65e9273","","","","{""addr"":""3.north-america.pool.ntp.org""}",""
"8698ce64-3d4a-568f-9bf8-cfb7ca5798c5","","{""addr"":""224.0.0.22/32""}","","",""
"9e6129e5-dd1f-570f-af91-a3f3be54c370","","{""addr"":""239.255.255.250/32""}","","",""
"108bb16d-f6b7-5a82-9621-4e6a2dc13db3","","{""addr"":""255.255.255.255/32""}","","",""
"ec23d4d7-d2e1-5e8e-936a-b86c3d1abaa4","","{""addr"":""255.255.255.255/32""}","","",""
"d62c1a90-ba4f-5eda-9a82-be34d844cad9","","{""addr"":""208.67.220.220/32""}","","",""
"2a158075-c82f-594c-8d51-994bdcf8e0d0","","{""addr"":""*"",""allowed"":false}","","{""addr"":""*"",""allowed"":false,""children"":[{""addr"":""com.google.time4:123""},{""addr"":""org.computer42.hetzner.obelix:123""}]}",""
